Model,Faithfulness,Answer Relevancy,Emb_AQ,Emb_AC
baseline_vector,"[0.8, 1.0, 0.7857142857142857, 1.0, 0.875, 1.0, 0.7777777777777778, 0.7948717948717948, 0.8571428571428571]","[np.float64(0.0), np.float64(0.7839611891991637), np.float64(0.0), np.float64(0.8293431773182368), np.float64(0.714819041043556), np.float64(0.8029603052394485), np.float64(0.7812236637485991), np.float64(0.0), np.float64(0.804970196471162)]",0.6464615000618829,0.5768400229237698
baseline_bm25,"[0.8, 0.5, 0.8333333333333334, 0.75, 0.8, 1.0, 1.0, 0.7142857142857143, 0.8181818181818182]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7406072691352213), np.float64(0.0), np.float64(0.7173030685072468), np.float64(0.740345031455209), np.float64(0.0)]",0.5820491115252177,0.5076748466602079
hybrid_rrf,"[0.6, 1.0, 0.8333333333333334, 0.8, 1.0, 1.0, 0.9, 1.0, 0.7142857142857143]","[np.float64(0.0), np.float64(0.7848987453386455), np.float64(0.0), np.float64(0.768277590335173), np.float64(0.734821085601702), np.float64(0.7301988593480773), np.float64(0.7944905152591911), np.float64(0.0), np.float64(0.7592812755914569)]",0.6051474776532915,0.5322733251033006
final_rrf_rerank,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9166666666666666, 0.625, 1.0]","[np.float64(0.0), np.float64(0.7954452529406405), np.float64(0.0), np.float64(0.8010821116609619), np.float64(0.0), np.float64(0.0), np.float64(0.779355656643054), np.float64(0.0), np.float64(0.7861925026157596)]",0.6316480769051446,0.5618015682255781
