Model,Average_of_10_Runs,All_10_Scores
baseline_vector,0.9099999999999999,"[np.float64(0.9), np.float64(0.8833333333333333), np.float64(0.9233333333333333), np.float64(0.9099999999999999), np.float64(0.9166666666666666), np.float64(0.9166666666666666), np.float64(0.9166666666666666), np.float64(0.9166666666666666), np.float64(0.9), np.float64(0.9166666666666666)]"
baseline_bm25,0.7728333333333334,"[np.float64(0.7233333333333333), np.float64(0.8216666666666667), np.float64(0.8166666666666667), np.float64(0.7666666666666667), np.float64(0.7666666666666667), np.float64(0.7233333333333333), np.float64(0.7633333333333333), np.float64(0.8333333333333334), np.float64(0.7566666666666666), np.float64(0.7566666666666666)]"
hybrid_rrf,0.924,"[np.float64(0.9433333333333334), np.float64(0.9133333333333333), np.float64(0.9133333333333333), np.float64(0.9333333333333333), np.float64(0.9233333333333333), np.float64(0.9), np.float64(0.8833333333333333), np.float64(0.9233333333333333), np.float64(0.95), np.float64(0.9566666666666667)]"
final_rrf_rerank,0.9423333333333332,"[np.float64(0.9566666666666667), np.float64(0.94), np.float64(0.9333333333333333), np.float64(0.9333333333333333), np.float64(0.94), np.float64(0.94), np.float64(0.95), np.float64(0.95), np.float64(0.94), np.float64(0.94)]"
