Model,Average_of_10_Runs,All_10_Scores
baseline_vector,0.9023333333333333,"[np.float64(0.91), np.float64(0.9), np.float64(0.9), np.float64(0.9333333333333333), np.float64(0.9066666666666666), np.float64(0.9), np.float64(0.9166666666666666), np.float64(0.9), np.float64(0.8566666666666667), np.float64(0.9)]"
baseline_bm25,0.7883333333333333,"[np.float64(0.7899999999999999), np.float64(0.7633333333333333), np.float64(0.76), np.float64(0.8), np.float64(0.7899999999999999), np.float64(0.7899999999999999), np.float64(0.7866666666666667), np.float64(0.7566666666666666), np.float64(0.7966666666666666), np.float64(0.85)]"
hybrid_rrf,0.9416666666666668,"[np.float64(0.9566666666666667), np.float64(0.95), np.float64(0.9566666666666667), np.float64(0.9166666666666666), np.float64(0.94), np.float64(0.94), np.float64(0.9233333333333333), np.float64(0.9666666666666667), np.float64(0.9233333333333333), np.float64(0.9433333333333334)]"
final_rrf_rerank,0.9433333333333334,"[np.float64(0.9433333333333334), np.float64(0.9166666666666666), np.float64(0.9233333333333333), np.float64(0.94), np.float64(0.95), np.float64(0.9466666666666667), np.float64(0.95), np.float64(0.9566666666666667), np.float64(0.9466666666666668), np.float64(0.9600000000000001)]"
