Model,Faithfulness,Answer Relevancy,Emb_AQ,Emb_AC,GPT_Hallucination
baseline_vector,"[0.8333333333333334, 0.9090909090909091, 0.9166666666666666, 1.0, 0.875, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 0.8, 0.75, 0.6666666666666666, 1.0, 0.5, 0.6666666666666666, 1.0, 0.8, 0.8, 1.0, 0.875, 0.8333333333333334, 0.875, 1.0, 0.4, 0.4444444444444444]","[np.float64(0.0), np.float64(0.7532977687583226), np.float64(0.7379279517403511), np.float64(0.0), np.float64(0.0), np.float64(0.8135122556413424), np.float64(0.7672907998690871), np.float64(0.8031885498159158), np.float64(0.7615849041557391), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.782141555657703), np.float64(0.8333283510874256), np.float64(0.8826550802447511), np.float64(0.8743732452495578), np.float64(0.7738735578425331), np.float64(0.7485604451886548), np.float64(0.7992813566218192), np.float64(0.0), np.float64(0.7297247158923602), np.float64(0.7851396321096873), np.float64(0.777065630624584), np.float64(0.7647047787443256), np.float64(0.848926522828544), np.float64(0.7584013231445558)]",0.6839866218743501,0.5759349386265248,0.3148148148148148
baseline_bm25,"[0.6666666666666666, 0.8, 1.0, 1.0, 0.9473684210526315, 0.8, 1.0, 0.7692307692307693, 0.4, 0.8571428571428571, 0.7333333333333333, 0.8571428571428571, 0.6, 1.0, 1.0, 0.9285714285714286, 0.8, 0.6, 0.5714285714285714, 0.6666666666666666, 1.0, 1.0, 0.8, 0.7142857142857143, 1.0, 0.6666666666666666, 1.0]","[np.float64(0.0), np.float64(0.7581973090022439), np.float64(0.0), np.float64(0.0), np.float64(0.7675847774791741), np.float64(0.0), np.float64(0.7459932566144832), np.float64(0.7079060426085909), np.float64(0.7586530100125678), np.float64(0.7827688036475503), np.float64(0.0), np.float64(0.0), np.float64(0.7423500776007342), np.float64(0.0), np.float64(0.0), np.float64(0.8994385776324583), np.float64(0.7519337300111225), np.float64(0.7886298717875415), np.float64(0.7193479021904601), np.float64(0.0), np.float64(0.7885494896273202), np.float64(0.0), np.float64(0.0), np.float64(0.7790415088881011), np.float64(0.7525963000075083), np.float64(0.7705545482950028), np.float64(0.781461825499718)]",0.6316443008405191,0.5228358368262833,0.19999999999999998
hybrid_rrf,"[0.8333333333333334, 0.8888888888888888, 1.0, 1.0, 1.0, 0.42857142857142855, 1.0, 0.7058823529411765, 0.9, 0.9090909090909091, 0.6666666666666666, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 0.5714285714285714, 0.8, 0.5, 0.7142857142857143, 0.8, 0.6, 0.5555555555555556, 1.0, 1.0, 1.0]","[np.float64(0.0), np.float64(0.7507396882109512), np.float64(0.7474550365501558), np.float64(0.7547360474038015), np.float64(0.0), np.float64(0.8116371676361075), np.float64(0.7837603743103951), np.float64(0.7697746993538844), np.float64(0.7507122836980779), np.float64(0.7866524956106132), np.float64(0.6933575901551907), np.float64(0.0), np.float64(0.7413839366492884), np.float64(0.8038712643754452), np.float64(0.0), np.float64(0.7512355369715402), np.float64(0.7524307996403117), np.float64(0.7415487968962898), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.787369830584765), np.float64(0.7503273959388355), np.float64(0.7609340681327783), np.float64(0.8367193908155287), np.float64(0.7202515869134506)]",0.660361976535232,0.5397057859801951,0.2962962962962963
final_rrf_rerank,"[1.0, 1.0, 1.0, 1.0, 0.8181818181818182, 1.0, 0.9090909090909091, 0.7058823529411765, 0.8, 0.8181818181818182, 1.0, 1.0, 0.9230769230769231, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.7, 0.5, 1.0, 1.0, 0.8571428571428571, 1.0, 0.8, 0.6666666666666666, 0.9090909090909091]","[np.float64(0.0), np.float64(0.7362958134143501), np.float64(0.7474550365501558), np.float64(0.7443219331926206), np.float64(0.8002343177987262), np.float64(0.8135122556413424), np.float64(0.7714319695021622), np.float64(0.0), np.float64(0.7598582913339246), np.float64(0.7838939450067715), np.float64(0.7867968363647692), np.float64(0.0), np.float64(0.0), np.float64(0.79803455977857), np.float64(0.8512628863750337), np.float64(0.7176121745130278), np.float64(0.7774432487425476), np.float64(0.0), np.float64(0.7499673886776304), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7858830316013795), np.float64(0.7742055870397649), np.float64(0.7647047787443254), np.float64(0.732983652096625), np.float64(0.7931399862906835)]",0.6738431100492124,0.5568315460358138,0.23703703703703705
