Model,Faithfulness,Answer Relevancy,Emb_AQ,Emb_AC,GPT_Hallucination
baseline_vector,"[0.8571428571428571, 0.875, 0.9, 0.9230769230769231, 0.625, 0.8, 0.8, 0.5, 1.0]","[np.float64(0.7711343227411609), np.float64(0.0), np.float64(0.7725957536344193), np.float64(0.7839611891991637), np.float64(0.0), np.float64(0.8137650842270897), np.float64(0.0), np.float64(0.7855962009440769), np.float64(0.0)]",0.6378579801983304,0.5660641844625827,0.2111111111111111
baseline_bm25,"[1.0, 0.6666666666666666, 0.8, 1.0, 0.875, 1.0, 1.0, 0.6666666666666666, 0.9285714285714286]","[np.float64(0.0), np.float64(0.7215413161719121), np.float64(0.7893117642109687), np.float64(0.7264058057919889), np.float64(0.7613930972882939), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.5695700612333086,0.5076930718841376,0.26666666666666666
hybrid_rrf,"[1.0, 1.0, 1.0, 1.0, 0.625, 0.8, 1.0, 0.375, 1.0]","[np.float64(0.7344198207225207), np.float64(0.6906919249092289), np.float64(0.7944706739846886), np.float64(0.794205485167085), np.float64(0.0), np.float64(0.7598836781574628), np.float64(0.0), np.float64(0.7597837918449941), np.float64(0.0)]",0.5858490632639991,0.5279149465538837,0.23333333333333334
final_rrf_rerank,"[0.7142857142857143, 0.9, 0.9166666666666666, 1.0, 1.0, 1.0, 0.6, 0.15384615384615385, 0.8275862068965517]","[np.float64(0.7808618552173906), np.float64(0.7523569479328499), np.float64(0.7859206277586516), np.float64(0.746676467621152), np.float64(0.0), np.float64(0.8046043654718412), np.float64(0.0), np.float64(0.7561553121462711), np.float64(0.0)]",0.6374679340256585,0.5606444304188093,0.17777777777777778
